,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000566.SZ,20190402,7.81,7.93,7.73,7.82,7.79,0.03,0.3851,321663.81,252216.543
1,000566.SZ,20190401,7.55,7.87,7.49,7.79,7.55,0.24,3.1788,382475.79,296104.337
2,000566.SZ,20190329,7.35,7.66,7.11,7.55,7.41,0.14,1.8893,465180.66,341649.895
3,000566.SZ,20190328,7.84,7.9,7.38,7.41,7.91,-0.5,-6.3211,386279.27,295938.056
4,000566.SZ,20190327,8.0,8.12,7.7,7.91,8.04,-0.13,-1.6169,380914.6,300408.242
5,000566.SZ,20190326,8.55,8.62,8.0,8.04,8.42,-0.38,-4.5131,459385.79,376809.337
6,000566.SZ,20190325,8.0,8.94,7.89,8.42,8.17,0.25,3.06,626573.07,527885.186
7,000566.SZ,20190322,8.18,8.22,7.92,8.17,8.16,0.01,0.1225,410035.54,331363.237
8,000566.SZ,20190321,8.26,8.35,8.05,8.16,8.21,-0.05,-0.609,602481.86,493781.269
9,000566.SZ,20190320,7.99,8.27,7.85,8.21,8.08,0.13,1.6089,659544.16,534669.262
10,000566.SZ,20190319,8.19,8.19,7.83,8.08,7.9,0.18,2.2785,710204.43,570164.861
11,000566.SZ,20190318,7.61,7.93,7.5,7.9,7.49,0.41,5.474,690336.88,535126.199
12,000566.SZ,20190315,7.4,7.75,7.35,7.49,7.71,-0.22,-2.8534,736624.83,552729.042
13,000566.SZ,20190314,8.42,8.42,7.66,7.71,7.65,0.06,0.7843,1292411.44,1048469.93
14,000566.SZ,20190313,6.98,7.65,6.91,7.65,6.95,0.7,10.0719,581070.17,425528.334
15,000566.SZ,20190312,6.9,7.04,6.81,6.95,6.85,0.1,1.4599,288266.69,200321.701
16,000566.SZ,20190311,6.65,6.88,6.65,6.85,6.63,0.22,3.3183,223716.35,151564.924
17,000566.SZ,20190308,7.13,7.15,6.62,6.63,7.3,-0.67,-9.1781,366943.98,254893.7
18,000566.SZ,20190307,7.01,7.36,6.94,7.3,7.01,0.29,4.1369,373216.92,266340.926
19,000566.SZ,20190306,7.15,7.15,6.88,7.01,6.89,0.12,1.7417,307596.39,215079.69
20,000566.SZ,20190305,6.85,6.91,6.76,6.89,6.85,0.04,0.5839,226226.54,154265.801
21,000566.SZ,20190304,7.0,7.06,6.78,6.85,6.87,-0.02,-0.2911,336838.57,234170.243
22,000566.SZ,20190301,6.85,6.88,6.67,6.87,6.8,0.07,1.0294,200026.42,135521.034
23,000566.SZ,20190228,6.92,7.05,6.68,6.8,6.9,-0.1,-1.4493,300297.51,206052.274
24,000566.SZ,20190227,6.86,7.19,6.74,6.9,6.8,0.1,1.4706,510509.57,356107.542
25,000566.SZ,20190226,6.45,6.96,6.35,6.8,6.48,0.32,4.9383,507148.36,343277.27
26,000566.SZ,20190225,6.19,6.59,6.1,6.48,6.13,0.35,5.7096,420750.57,265648.732
27,000566.SZ,20190222,6.09,6.13,5.95,6.13,6.07,0.06,0.9885,233223.99,141137.79
28,000566.SZ,20190221,6.15,6.24,6.0,6.07,6.13,-0.06,-0.9788,253846.31,156194.406
29,000566.SZ,20190220,6.28,6.28,6.01,6.13,6.23,-0.1,-1.6051,189612.19,116196.689
30,000566.SZ,20190219,6.19,6.39,6.07,6.23,6.2,0.03,0.4839,282775.14,176267.523
31,000566.SZ,20190218,6.01,6.23,6.01,6.2,5.97,0.23,3.8526,271243.78,166442.176
32,000566.SZ,20190215,5.92,6.25,5.88,5.97,6.01,-0.04,-0.6656,312395.99,189077.539
33,000566.SZ,20190214,5.83,6.05,5.79,6.01,5.93,0.08,1.3491,304589.64,180455.361
34,000566.SZ,20190213,5.9,6.05,5.71,5.93,5.82,0.11,1.89,470136.64,276553.064
35,000566.SZ,20190212,5.3,5.82,5.3,5.82,5.29,0.53,10.0189,285504.86,162796.726
36,000566.SZ,20190211,5.18,5.34,5.16,5.29,5.18,0.11,2.1236,97266.02,51368.116
37,000566.SZ,20190201,5.0,5.19,4.99,5.18,4.94,0.24,4.8583,92420.19,47198.016
38,000566.SZ,20190131,5.03,5.08,4.92,4.94,4.98,-0.04,-0.8032,102276.77,51228.31
39,000566.SZ,20190130,5.1,5.12,4.95,4.98,5.13,-0.15,-2.924,76995.36,38827.387
40,000566.SZ,20190129,5.11,5.21,4.98,5.13,5.1,0.03,0.5882,98384.83,50123.376
41,000566.SZ,20190128,5.43,5.45,5.09,5.1,5.4,-0.3,-5.5556,128698.42,67581.477
42,000566.SZ,20190125,5.36,5.45,5.32,5.4,5.36,0.04,0.7463,66152.5,35638.354
43,000566.SZ,20190124,5.32,5.43,5.31,5.36,5.33,0.03,0.5629,56858.4,30565.019
44,000566.SZ,20190123,5.4,5.44,5.26,5.33,5.45,-0.12,-2.2018,86578.4,46259.623
45,000566.SZ,20190122,5.54,5.57,5.4,5.45,5.57,-0.12,-2.1544,92432.06,50394.915
46,000566.SZ,20190121,5.47,5.64,5.47,5.57,5.58,-0.01,-0.1792,124613.04,69568.025
47,000566.SZ,20190118,5.41,5.59,5.39,5.58,5.44,0.14,2.5735,141144.69,78086.549
48,000566.SZ,20190117,5.5,5.52,5.41,5.44,5.5,-0.06,-1.0909,115368.13,62889.016
49,000566.SZ,20190116,5.31,5.66,5.3,5.5,5.34,0.16,2.9963,223388.18,122627.625
50,000566.SZ,20190115,5.22,5.35,5.21,5.34,5.24,0.1,1.9084,92477.15,49051.461
51,000566.SZ,20190114,5.34,5.36,5.22,5.24,5.33,-0.09,-1.6886,69476.05,36525.154
52,000566.SZ,20190111,5.3,5.38,5.27,5.33,5.32,0.01,0.188,77797.32,41365.368
53,000566.SZ,20190110,5.25,5.36,5.22,5.32,5.22,0.1,1.9157,119041.8,63135.306
54,000566.SZ,20190109,5.19,5.3,5.18,5.22,5.18,0.04,0.7722,113736.4,59742.214
55,000566.SZ,20190108,5.25,5.25,5.15,5.18,5.27,-0.09,-1.7078,98428.84,51062.731
56,000566.SZ,20190107,5.16,5.32,5.1,5.27,5.13,0.14,2.729,130657.82,68034.323
57,000566.SZ,20190104,4.95,5.16,4.86,5.13,4.99,0.14,2.8056,118048.73,59530.498
58,000566.SZ,20190103,5.08,5.09,4.98,4.99,5.03,-0.04,-0.7952,75397.0,37972.121
59,000566.SZ,20190102,5.13,5.18,5.03,5.03,5.12,-0.09,-1.7578,71417.67,36384.435
60,000566.SZ,20181228,5.05,5.18,5.05,5.12,5.03,0.09,1.7893,78422.72,40185.076
61,000566.SZ,20181227,5.28,5.3,5.01,5.03,5.18,-0.15,-2.8958,83589.0,43355.924
62,000566.SZ,20181226,5.19,5.24,5.14,5.18,5.18,0.0,0.0,85977.6,44695.476
63,000566.SZ,20181225,5.24,5.31,4.95,5.18,5.34,-0.16,-2.9963,147320.87,75128.336
64,000566.SZ,20181224,5.37,5.49,5.3,5.34,5.43,-0.09,-1.6575,108015.45,58096.381
65,000566.SZ,20181221,5.57,5.59,5.42,5.43,5.6,-0.17,-3.0357,86366.96,47535.483
66,000566.SZ,20181220,5.6,5.63,5.46,5.6,5.59,0.01,0.1789,100217.03,55639.737
67,000566.SZ,20181219,5.42,5.64,5.4,5.59,5.4,0.19,3.5185,189438.16,105363.177
68,000566.SZ,20181218,5.44,5.44,5.32,5.4,5.47,-0.07,-1.2797,82845.76,44656.708
69,000566.SZ,20181217,5.47,5.48,5.36,5.47,5.51,-0.04,-0.726,74198.4,40325.429
70,000566.SZ,20181214,5.61,5.61,5.4,5.51,5.62,-0.11,-1.9573,142858.8,78433.565
71,000566.SZ,20181213,5.65,5.7,5.55,5.62,5.63,-0.01,-0.1776,116059.77,65329.635
72,000566.SZ,20181212,5.64,5.67,5.59,5.63,5.64,-0.01,-0.1773,91161.45,51371.746
73,000566.SZ,20181211,5.71,5.74,5.58,5.64,5.64,0.0,0.0,111245.81,62821.439
74,000566.SZ,20181210,5.75,5.75,5.6,5.64,5.86,-0.22,-3.7543,162255.98,91985.472
75,000566.SZ,20181207,6.08,6.17,5.81,5.86,6.13,-0.27,-4.4046,206187.47,122115.266
76,000566.SZ,20181206,6.25,6.36,6.11,6.13,6.28,-0.15,-2.3885,149353.48,92810.852
77,000566.SZ,20181205,6.06,6.45,6.01,6.28,6.21,0.07,1.1272,274744.3,171959.014
78,000566.SZ,20181204,6.26,6.27,6.09,6.21,6.3,-0.09,-1.4286,212772.86,131795.577
79,000566.SZ,20181203,6.28,6.41,6.18,6.3,6.15,0.15,2.439,206673.31,129645.449
